Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By,Owned By,Owned By,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status
134633473,Generate Receipt,"counter staff, payment",4,"Dec 26, 2016","Jan 8, 2017",feature,2,unstarted,"Nov 19, 2016",,,KleistChia,"As a counter staff, I can generate receipt for customers so that they can view their payment summary details.
",https://www.pivotaltracker.com/story/show/134633473,,,,Plan the user interface,not completed,Code the user interface,not completed,Connect to database,not completed,"Code the function classes (domain, control, data access, driver)",not completed,Test the function,not completed
134633127,Make Payment with Cash,payment,4,"Dec 26, 2016","Jan 8, 2017",feature,3,unstarted,"Nov 19, 2016",,,Chong Jin Hui,"As a registered customer, I can make payment with cash so that I can complete my reservation",https://www.pivotaltracker.com/story/show/134633127,,,,Plan the user interface,not completed,Code the user interface,not completed,Connect to database,not completed,"Code the function classes (domain, control, data access, driver)",not completed,Test the function,not completed
134633149,Make Payment with Credit Card,payment,4,"Dec 26, 2016","Jan 8, 2017",feature,3,unstarted,"Nov 19, 2016",,,Chong Jin Hui,"As a registered customer, I can make payment with credit card so that I can complete my reservation.",https://www.pivotaltracker.com/story/show/134633149,,,,Plan the user interface,not completed,Code the user interface,not completed,Connect to database,not completed,"Code the function classes (domain, control, data access, driver)",not completed,Test the function,not completed
134633911,View Payment Details,payment,4,"Dec 26, 2016","Jan 8, 2017",feature,1,unstarted,"Nov 19, 2016",,,Chong Jin Hui,"As a customer, I wish to view the total amount of payment so that I can know the total price of tickets reserved.",https://www.pivotaltracker.com/story/show/134633911,,,,Plan the user interface,not completed,Code the user interface,not completed,Connect to database,not completed,"Code the function classes (domain, control, data access, driver)",not completed,Test the function,not completed
134652245,Create Membership,manage membership,5,"Jan 9, 2017","Jan 22, 2017",feature,3,unstarted,"Nov 20, 2016",,,Chong Zhan Yi,"As a staff, I can create membership for customer so that the customer can register as a member for membership benefits
",https://www.pivotaltracker.com/story/show/134652245,,,,Plan the user interface,not completed,Code the user interface,not completed,Connect to database,not completed,"Code the function classes (domain, control, data access, driver)",not completed,Test the function,not completed
134652269,Update Membership,manage membership,5,"Jan 9, 2017","Jan 22, 2017",feature,2,unstarted,"Nov 20, 2016",,,Chong Zhan Yi,"As a staff, I can update member's details so that I can assure the member's details are always up-to-date",https://www.pivotaltracker.com/story/show/134652269,,,,Plan the user interface,not completed,Code the user interface,not completed,Connect to database,not completed,"Code the function classes (domain, control, data access, driver)",not completed,Test the function,not completed
135910621,View Membership,manage membership,5,"Jan 9, 2017","Jan 22, 2017",feature,1,unstarted,"Dec 11, 2016",,,Km Cho,"As a staff, I can view member's details so that I can always search for member's details when it is needed.",https://www.pivotaltracker.com/story/show/135910621,,,,Plan the user interface,not completed,Code the user interface,not completed,Plan the user interface,not completed,"Code the function classes (domain, control, data access, driver)",not completed,Test the function,not completed
136647057,Create Driver ,manage driver,5,"Jan 9, 2017","Jan 22, 2017",feature,2,unstarted,"Dec 24, 2016",,,Chong Jin Hui,"As a staff, I can add new driver so I can keep track out the latest driver information.",https://www.pivotaltracker.com/story/show/136647057,,,,Plan the user interface,not completed,Code the user interface,not completed,Connect to database,not completed,"Code the function classes (domain, control, data access, driver)",not completed,Test the function,not completed
136647069,View Driver,manage driver,5,"Jan 9, 2017","Jan 22, 2017",feature,1,unstarted,"Dec 24, 2016",,,Chong Jin Hui,"As a staff, I can view driver information so that I can search driver information whenever it is needed.",https://www.pivotaltracker.com/story/show/136647069,,,,Plan the user interface,not completed,Code the user interface,not completed,Connect to database,not completed,"Code the function classes (domain, control, data access, driver)",not completed,Test the function,not completed
136647083,Deactivate Driver ,manage driver,5,"Jan 9, 2017","Jan 22, 2017",feature,1,unstarted,"Dec 24, 2016",,,Chong Jin Hui,"As a staff, I can deactivate driver so that the driver cannot be assigned during schedule creation when the driver no longer working.",https://www.pivotaltracker.com/story/show/136647083,,,,Plan the user interface,not completed,Code the user interface,not completed,Connect to database,not completed,"Code the function classes (domain, control, data access, driver)",not completed,Test the function,not completed
